graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,14,0.22051711472530736,-0.5310587190939484,0.2429545281452812,0.11193488849627599,-1.0113312429095926,-0.0240722328446081,0.24014749681221262,-0.8161415647064307,0.23321193136772533,-0.37568169935039974,0.7111451001287076,0.973557033964196,1.0109048256744229,0.22754919472606147,0.8431480763035953,-0.9841939489021161,2.4249410896371635,0.4528743655132561,-3.1312975682766337,1.7483782622688073,-0.36520437853964666,1.5875564958224797,-0.4829154304266422,-1.077080705782681,0.8438588908041356,-1.0130368705343058,-2.123670160961186,-1.3425047847063896
3-Regular Graph,exponential,14,0.5969159108830966,0.3747659443905541,-0.14356400234591563,-0.7316304703557276,0.20125414512232395,-0.0717403081364909,0.19739678561487878,-0.5251422000968625,-0.41918541902052514,1.0533059467669645,0.7163403081961418,-0.28822966298121233,0.2236416066582118,-0.3918486933480978,-0.832223848903231,2.2538635007632344,1.7690995165566954,-0.6339563090821431,-1.9501507671806368,-0.9948351917586808,1.101809873224712,0.6483107814442451,-0.4411549545755539,0.29773718244250225,-3.1600380818723623,1.0433986285816572,0.26242504620024676,-0.8407463570029896
3-Regular Graph,log-normal,14,-0.5450811802608274,-0.11638198233279923,0.1338791422817739,-1.147155904890866,0.864183731670492,1.3008378278499804,-0.5071714853197347,0.32866908606746525,0.24118085781092355,1.5197062309265885,1.1630798371827213,-0.5645727442237232,-0.17849716131962684,-0.10931124571000694,1.5608838230210373,-2.5559020326957076,-0.4763491207420518,3.436434048981189,-0.28519217526074664,-0.044232571766092764,-3.7464672607769174,-1.0115655580483154,-3.911100219663435,2.830975054125701,-1.0774984222929662,-0.5239415680948301,0.38570628499470716,3.076754013185298
3-Regular Graph,normal,14,0.8460798356456393,0.8864758846806676,1.0601723381882235,0.4214182056727313,-0.14393449721581755,0.061435104573026665,0.06528473320723541,0.09788279211979245,-0.36174616525078995,0.47770133493156397,0.09234179651134562,-0.19609304610092482,0.4161579927116859,-0.6496489576415464,1.0502067684049587,0.8585334621604754,-1.8257448096216369,1.8105238118215576,-0.5365173370369496,3.700725040778917,1.8938185938739547,-0.9932676276670321,-3.346178622227469,-1.4911271925759584,-2.235079642675789,-2.3922247133609784,0.4296895239052511,0.48032167770124645
3-Regular Graph,uniform,14,-0.5876007467415616,1.0351902116421892,-0.6796749926462893,0.866960354043327,0.9111645743161303,-0.06897368203491745,0.25934843138708913,-0.4416635916874334,-0.0938808051780825,-0.336907137273009,0.33529232754271926,0.7404556025874758,0.1916029720306642,0.8626307365606752,-0.043146913594145186,-0.46091211057789877,2.633975474873971,1.0721058834606538,1.1967444761058608,-0.5794962636525975,-1.7068453916918007,1.04740099767935,-0.5224759849954684,3.1464332110933104,-0.6786708816469839,-0.19127409999300032,0.6828383793172281,-2.6937519468839968
3-Regular Graph,uniform_plus,14,-0.9589600915673347,0.7260279120167206,-0.17379856371933572,-0.3303533183003872,-0.40257161438096295,0.011206926131774805,-0.3146186387847143,-0.8366885491239764,1.116249577786984,-1.2677635737335202,-0.599530354338069,-0.5990526471442459,-0.22588751295865878,0.44790824572223886,0.03808762455335671,1.4946810126868093,0.8783912244125999,-0.16042125736163565,3.801338280817081,0.01042577969491269,1.1562122770818086,0.7741171645636447,0.7470319496953919,0.74472602564242,-0.14554430618035502,0.44138765980179945,-0.05332840447092346,0.3189720388791958
4-Regular Graph,cauchy,14,-0.582719627869862,0.4424341073045004,-0.13775958952483258,1.3054149191677302,0.4001067887143308,-0.11977374097573562,0.7237595824494104,-0.6422405324834475,1.3312448867722435,0.3351834858465738,-0.11951319766873615,-0.6043169882382741,0.27510283191689194,-0.44948228072452756,-1.1980828299946078,0.2481062247087997,1.7978818342442666,0.029588334769553408,-0.4616882385559482,2.242744428359627,0.23151973780477172,-1.3092785795678228,-0.16299599109854054,-0.7548104289842508,-1.9543760171471831,0.8004936354315928,-0.15004014310780206,1.444851485350577
4-Regular Graph,exponential,14,1.7046693039943226,-0.42907171568687097,-0.0688595910746773,0.03669675830733063,-0.9210550947848212,0.04268514840431268,0.8145808273168988,0.1884203382618201,0.11807094894382278,-0.11020714337769859,-1.3032606914750275,-0.5594244769928588,-0.8906419981100993,-1.3208369456358282,-0.8417565634000768,-0.8118093000065781,0.338381794867465,-1.0438228929313815,-0.4634164520920503,-3.1653477683764706,0.9606963067028773,2.6242212317756883,2.4587931326167722,0.4646375899041567,3.5296273028393705,2.550022470320102,-0.22133827559171962,-3.8842223192080954
4-Regular Graph,log-normal,14,-0.5320353651016579,0.09652909404533323,1.220349880471053,-1.6239163193663573,0.23716109745298844,1.5103994308760598,0.2715703212091978,0.7050912369849154,-0.028807044936854844,-0.07797753214206866,0.2754146824431107,-1.0383464657226706,-0.022328897154578538,-0.14414436918501689,-0.7820437176762534,-2.03524823678685,2.2072975818252543,-2.8942601900353795,-0.4868470630583397,-0.4294882275391411,1.0436546897758494,-2.51662766995924,-1.2732767251280714,2.0589779858599706,-0.8246840772935915,0.050241175433496064,-0.5297981946201452,-0.17527245386019225
4-Regular Graph,normal,14,1.5176498786923482,-0.5417345892965235,0.277291706216579,1.7076142146849922,-1.4468362153005154,-0.7895647312234526,0.27623284944908927,0.3329996645772509,-0.790260366183091,-0.15821332247223185,0.5072490848449868,0.14901116746332577,-0.6143624049404142,-1.0197808137002624,-0.8625211027203883,2.022238489750905,1.1039761727950737,0.18161914087838724,-2.7049273948418966,0.09545108269064224,-0.2048564899845966,2.1756591399268896,1.8869515268458021,0.47519214834990975,-0.27769380811957395,0.2376848614781833,0.3367667854013177,0.7063863522199934
