graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,12,-0.892038605964363,-0.35612319504260004,-0.0813173401029612,0.5468942920966304,-0.5003041937288526,0.27254216285534644,0.5604753692574955,-0.4219195666220388,-0.8168801188355441,0.2727511987341272,0.016693152959540197,-0.9869114383456976,0.9174454756308602,0.9678488261232968,0.30086787596460846,0.9124187516442439,-1.2385662287476082,-1.5366542233966058,-0.8222449406634413,-1.7795665394935463,-0.45241492037802056,-2.953914930136471,0.8010699687193127,0.24370213883919883
3-Regular Graph,exponential,12,0.5031033461875016,-0.4759498912414036,0.09762544331479266,0.14074356523144896,-0.07741091363044718,0.5228113791748992,0.5012246109189765,-1.0150508310827038,1.21778197553723,1.0320600163893436,-0.37130391709562044,-0.5362710689129943,0.7362690215499536,1.7117125447684585,0.4320404597706119,-0.30481700737707096,-0.850843920638656,0.5660072215583337,2.7128041955049556,0.18291472609707524,2.037353853323808,-0.5649848789495595,-1.7372478393738489,0.4153804108261294
3-Regular Graph,log-normal,12,0.9091085750872072,0.6179490874543112,-0.12648759578871382,1.428962752627458,-0.23159183443978618,-0.9974438682361929,-1.0926189214486517,0.03860661654761407,0.2536572533142359,-0.03428931408236895,0.590761819941022,-0.09768474110335887,-1.24254065166441,2.360168939605032,-3.356442710413664,-2.2373915494358454,1.7108630130248423,0.9256310951983001,0.8417374379027867,0.7464155220350269,2.4452342183795994,-3.9241358404832227,-3.0269501649345134,-0.23931858913636883
3-Regular Graph,normal,12,-0.09446123140943825,0.9703654954633253,-0.40121343427540357,-0.07341041829556022,0.7825701125600898,-0.4002417013668244,-0.6511384463806238,-1.5736639019175414,0.5371550624649467,1.349577945739573,-1.391058594982057,0.7117710161262987,0.8977824938182352,0.29214800817617936,-0.8216852056754979,1.0605770646181494,-1.2263510165802076,0.11365651486918432,1.7143005004482839,0.0763017326139529,-0.6446614102614441,-0.16666437313345703,-3.0173198885002397,1.3853608964713002
3-Regular Graph,uniform,12,-0.10613237034219355,0.47598695189813023,0.3112427562708111,0.5825759140793788,0.7930999111875492,-0.3972201661466828,0.5042394746620785,-1.1029546167533846,-0.19462328930591394,-0.8953783263189692,-0.5307038456388897,-0.45188858516338926,-0.026130227839439135,0.9447878644912362,-0.05157875118243262,2.5635694971417617,0.5602711925804054,-1.5939167551564455,-1.8428727548898696,-1.647334519112042,-0.9675304652572586,-0.09680269585078854,-2.609470492658189,-0.22551279017378623
3-Regular Graph,uniform_plus,12,1.299159135329988,0.6582528746324448,-0.028880656465144434,1.3463349044962842,0.2076907022451175,0.6995802801916242,-1.3965364375306315,1.8331019088703093,-0.3016615673645039,-1.3711466812844533,0.648976228303643,-0.40992618404404524,1.0660123306664033,0.4204079916328473,1.147240617201153,-2.6121785254539667,1.6636408375847953,2.623573972415951,1.6983953489034527,0.4537370530202302,2.5740802385273143,1.2891767209141405,2.0954422298104656,-0.48001972068694176
4-Regular Graph,cauchy,12,0.2527834166314671,-0.49785522042917124,0.1983716953125644,-1.4293866398265818,-1.5066013976252766,0.8644020931225993,0.005545408019439746,0.07962432341424239,-0.25528743210357746,-1.8124635159178777,-0.1830414261566363,1.440396024768052,0.9981122756867065,0.25959507021464845,0.058764526115194345,0.44142764756483244,2.191439446656136,-0.33489530351722646,-0.6651575758934811,0.9373447772168405,-0.1431780802460302,-0.360034624436947,0.6555188610093127,-1.4291430031563765
4-Regular Graph,exponential,12,-0.0740798933870793,0.2954712876714983,-0.12645554183738386,0.0600606632205441,-0.4788838325015539,-1.0242387667288795,-1.2474066812775217,-0.3154827688677644,-0.49634542189123776,-0.337353642877552,0.47822196220130186,1.261236229906266,0.0019759049042015276,-0.7515386489079486,-0.17560222335461,1.0850961327978197,-0.8620887414572186,-0.5985237122860783,-1.0282229194472414,-0.47660865086065274,1.0728306674374473,-0.8067733542860296,1.7302997040534525,-0.2906019085029069
4-Regular Graph,log-normal,12,1.3102574180039686,-0.47098263491391046,0.1579681960377414,0.10269892092748124,-0.36025062663411384,-1.1927861944227316,-0.17158423728957028,0.28883638290063857,0.2527965837168902,0.25965252499309516,0.789609028495167,0.4285256208891861,-1.6420668301811858,-1.6302211751385647,-0.02415876954086261,1.7853365120051725,-1.2122863497211391,-2.5416346392180564,-2.8630117007396128,0.5041349530585114,-2.6328238373041764,-1.066237193079271,0.4523696225616242,-1.9938591572091375
4-Regular Graph,normal,12,0.7810897025671723,-0.8068028031828524,-1.395920874806175,-0.9358716234173419,0.46493474980416455,-0.21332577089460847,0.9750991884803117,-0.6742547119498813,0.5497721036253459,-0.6871219679023062,1.3110401631024842,0.5579967104148251,-0.9147727983354585,-1.099510981190221,1.1192161140933536,0.2718286673350138,1.8229570584234962,-2.34847333527731,-1.9391603892607188,-1.9916777149114546,-2.694283202798721,0.9672074842597059,-1.236468650473695,-2.0450382742234967
