graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_beta_15,median_beta_16,median_beta_17,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14,median_gamma_15,median_gamma_16,median_gamma_17,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
4-Regular Graph,uniform,18,0.24026819857044338,1.2105502607269756,0.7325888070116741,0.15664501458899155,-1.0372490531592888,-0.3305071083049002,0.16109064437530335,0.0018976961523259478,1.544537607232502,-0.33162885167543726,0.549654950366742,1.0138088700893146,-0.3567179796285456,-0.24185785446672228,0.01066144241232711,-0.21163763424352092,0.24106850046617156,0.06453172031657342,-0.5373002407986283,0.7165705887002665,1.5571647081837674,0.5994799424569243,-1.0101315539709783,2.1089995029649615,-0.3466394508390803,1.0720398470310124,0.16285027174968894,1.9233517565614182,-0.7495330794030074,-0.3166958587265595,0.5685684402165679,-0.49221180303153583,-0.18911564362013153,-1.7059307314303251,0.41865526462707003,-0.3382381403476496
4-Regular Graph,uniform_plus,18,0.3942628814152522,-1.3103812268375132,-0.401195440237603,-0.2877132474561541,0.11885548281231618,0.6447686097571292,-0.11321393358243362,-0.05688100141994024,-0.0189377948191205,0.035354121575862485,-0.6747784673431697,-0.781346229554389,-0.04930863394249922,-0.03491119367372207,0.2566181947176323,-1.2011400569148842,-0.42265511366042485,0.10054357549666576,-1.034440549279795,2.4052755004336053,0.9587241344706836,-0.32741292501881025,-1.4853653775006053,1.859500856406902,1.4365408932817463,-0.8500162528121314,-0.1208024635679434,-0.1651546348038117,1.4328644067668952,-1.049344938507957,-0.538259814876166,0.9804966487079323,-0.4778049061345099,-0.031728448763472195,1.164723765680751,2.2130357328558987
Geometric,cauchy,18,0.7350791940823995,0.6001605079236345,-0.1436029296727779,0.10786483839392177,0.14771318864460115,-0.02776309586773351,0.8054907147695531,0.2462345354296115,-1.083710778335757,-0.4667383396341487,0.17782779854188732,0.3470020141926088,0.7163661280887041,0.38905693779988315,-0.20043304631423867,-0.8959711996812998,0.165737048935036,-0.25335515984400236,1.0991942587188575,0.02993215381991597,-0.7208015032546511,-1.8041973495894785,0.2512514917439714,-0.526011803715702,0.3276247140716316,0.29925084789291406,-0.8476473916671429,0.8936642819142893,-0.04275868931425661,-0.07636880769736112,-0.20106179049650696,0.7187072528599556,-3.1060654783825203,-0.43153142693980007,-0.8422405666953605,1.3993449072204878
Geometric,exponential,18,-0.5113667248678484,-1.5096493225353114,0.2079502327859347,0.14815583576890534,1.0315222073485415,1.3397133444748175,-1.2920699834074987,0.0494129288658175,0.10852769962585306,0.09712707292796363,-0.43112577846060207,0.7690309364222332,-1.282265663041793,0.47911772583682116,0.40746461360693087,-0.45083907024742026,0.2559297265095546,-0.9159300341296824,-0.5813370136760616,-0.36343483258301107,-0.6586129034125535,-0.0232761107608185,-2.0671974785196707,-0.2530938191967179,0.41695624261281683,-0.0011121455944033355,1.323933792517187,0.0841379666049186,-1.1050129305555236,-2.412859043329281,0.5085317073177446,-1.1341384279887012,0.21693502696945305,-0.3640925115606226,0.7945012976780488,1.5924786231969095
Geometric,log-normal,18,-0.5331639606330201,1.0222692484400016,0.13842168848839878,-0.023265149691033476,-0.1920165875181005,0.11616871170024114,-0.6749422307401175,-0.08640839682421281,-0.4518059144312843,-0.10353099768897067,0.6688587913240578,-0.2889212651320795,-0.4605034858466805,-0.46689144175499847,0.8689771636015005,0.5581673621322562,-0.4533934972476054,0.15870088481328093,0.1548128084279693,-2.158918754930397,3.197918510888629,0.5133480117675397,0.2516228758976069,-0.32052430840534035,-0.05742822801343658,0.46055009359368265,2.1313707879040154,0.11020376640975357,0.491626783354752,1.0400810744589823,-0.08866397664367588,0.4087932876591811,-1.0778560242201656,1.8277082580559114,0.8047921388692756,-0.1409486683843983
Geometric,normal,18,0.21264789823041616,-0.2251510486014634,0.36497825053466687,-0.22693661073379465,-0.9840484933076514,0.6444715437752606,-0.32117760115241867,-0.5514278899884133,-0.1158035158463167,0.6711532977447305,0.37097547024568184,-0.07810883345236462,-0.34863518711391633,0.4131817850703937,-0.1376354764033722,0.495914580526835,-0.44234873891736654,-0.6575324408411182,-0.908671929408709,0.6653414863201922,1.58787241718096,0.1270902768473103,-1.3918303623492363,0.6267242131093071,0.43449236726764257,-1.8479871749896088,-0.48090117518308567,1.8177223818130508,-0.8685190149026929,1.3049388750441266,1.4367363143487741,-0.39536787066359513,0.445064503275263,0.05987422371357516,0.20756153364447683,0.16602341397655665
Geometric,uniform,18,-1.027394829459684,-0.0599419926182882,1.0086158505620768,0.4504406813897424,0.6380213520455876,-0.5797991757132435,-0.5567434812903015,-0.09852772238487667,0.09464680594520018,-0.9355360095787123,-1.0736912239871932,0.3927193753238966,0.3213858768261419,-0.9105653238519107,1.62329430751605,-0.6597089153041924,1.2919491508799998,0.13807580069235836,-0.5932473770348763,-0.795740682692037,0.06982756278728319,0.16768781464723287,-0.39187523021878706,1.9644120969199586,0.3786693344895832,-1.4468994047260844,0.7768270397101873,0.994205017551572,0.25821414927264824,-0.29883795960106296,0.6959204977876672,1.4696998855761905,0.6094151035661131,0.8877520662589411,-0.2811747573073472,-1.3381121320236014
Geometric,uniform_plus,18,-0.5808503181275313,1.2707684959484364,-0.20440599592996125,-0.08139738653439825,-0.007496482277193681,0.1956656500957957,-0.3360451348575627,-0.8005873148200812,0.7921576956190887,-1.4950480699631021,1.082217540123536,0.6590155988343319,-0.3152188181465373,0.8394012900334459,-0.6917370398756814,-0.45148048127278506,0.5649366452145533,-0.598688753413843,-0.8064672386888938,0.16417999100063096,0.9834354259200926,-1.5838924831634666,0.30929018914729905,-1.4456981967420652,-0.4045933958647946,0.16648852843296408,-0.7025220964407902,-2.6450056715687564,-1.8853776613739934,0.2943916731006403,0.565488330705072,-0.38193918714949193,-0.43706703505348,1.9374558906937236,-0.5026122097544459,-1.7873347872348606
Nearly Complete BiPartite,cauchy,18,0.3483571924059333,-0.8722409965463723,0.5587747892182879,0.3709492819447115,-0.3292991533071497,-0.035058187867059415,-1.4156011248258673,0.7528950911678737,0.02127590326870372,-0.102901256884527,0.3898874157772138,0.0038278868199105257,0.25841938557138244,-1.6345200461164084,1.2182236656189782,0.28496231148977835,-0.226653387026686,-0.4672000252211529,2.0257104222028626,-1.239808784431141,-0.08066437338129405,-0.4729344293654151,1.2400429761062413,0.42496775366369355,2.0052824748596163,1.128290724154943,-0.9900662304741468,0.02215148698462447,-0.7981653854750438,-0.037253219409569,1.054154419871548,1.363488450563664,-0.8988682424108292,-0.44179387820567656,-0.6791829486784361,0.9035533676313884
Nearly Complete BiPartite,exponential,18,-1.2235067251280036,-0.3497791611888999,-1.1642440906862297,-0.8684582468838319,-0.13975763355253518,0.939874820689835,-0.11378752148287628,0.5435703810773813,-1.4804169479367346,-0.16144336421721883,0.738539956726592,0.39472543002577354,0.6748365454686043,1.2097414679579492,0.1959259994304696,-1.053259386072203,-0.30430653572371785,0.060119335156427034,-1.1315008752733506,-0.972052382382556,1.2309978388127256,-0.11299491896870267,-1.4662145973970946,1.3552443090285675,0.07578268874715532,-1.8401218640622565,-0.36808936433851314,-0.11646090946408522,1.1334451275555624,2.511315960733017,1.3575628372778745,0.8332187719899767,-0.9571926885411338,0.5384101895041393,0.38018940388891964,-0.8524487476860423
Nearly Complete BiPartite,log-normal,18,0.5744522079825661,-0.11007192601142447,-1.256552656703306,0.01174676942914433,0.37982320504035844,0.45135556703729457,-0.053517516106426584,0.16102946454175368,-1.103655727809427,-0.1406252327556484,0.12338080687555424,0.44232084970953006,-0.08354711524416066,0.489864297687421,-1.0040532528478012,-0.08315045863586427,0.9374839615809949,1.339878847145802,-1.1856603372574683,-2.1150605415645636,-2.131589017041299,-1.0502689623968227,-0.47025377286808306,0.12992296926298022,0.2865508308734347,-1.221546412533338,0.07376372023673876,-0.589592764458026,-1.0493940858922073,0.16035235102541523,1.71000004719173,0.11366184085009257,1.2547025015728055,-2.610358971095441,-1.7266877113057504,-1.6350143071813439
Nearly Complete BiPartite,normal,18,0.9727828235962939,-0.7023608560738819,-0.5867045632791635,0.10597700476589134,-0.67236123674383,-0.05499649938816297,-0.8494513021418593,1.4978923110824,1.3520407563253203,-0.016685466040728736,0.1650735152118122,0.3430994545479775,0.013896981549929147,0.06297116326268781,-1.1866952719673731,-0.2947084917179411,-0.2076579809439804,-0.2536137183189661,-0.6535562445761112,1.2058118412169505,0.07986058281354497,0.3382629409404932,-0.2828438231925905,2.0316330337008557,-0.6644107049457824,-0.5640587433409191,2.489273953729117,-0.02620904294227884,-0.6884869443984902,-1.713901301352208,-0.5927741017642021,0.43958443560733773,0.10237172640567634,-0.9771090363864277,0.6518277197361977,-1.752944186550961
Nearly Complete BiPartite,uniform,18,-0.8367718271697018,-0.43269509796019406,1.3171941452822495,-0.7241016942005255,0.1763059251107755,0.24191099178076958,0.12112270393559041,-0.15210214468816205,-0.10479918129843746,0.2900097602696849,-0.6268859657215526,-0.5236178313203481,0.01931639688953338,0.10530068311037452,-0.5341360100748241,0.9576156869320953,-0.7655623928222659,-0.11449677165279426,-0.5104836137540354,-1.073998986288669,-0.24325434736089058,1.7534534200114447,0.007498052427711788,-1.4066120864478677,1.0748413883024133,-1.6928168401149273,0.19871530871597132,-1.066101044833892,-0.4987993834995489,-0.18610542465714391,-0.2448283133559948,-1.5637869299194185,-0.879026002972898,-1.4108015453884977,0.20153093612965797,-1.232054231556603
Nearly Complete BiPartite,uniform_plus,18,-0.02797499788484207,0.3763447525869176,0.4430985064005531,0.10968631742322031,-0.07910918485606258,-0.5874733006632558,0.8177461442277192,0.334608880550003,-1.171862748364818,0.05301877384316159,0.33582835055654087,-0.48755352775466326,-1.013069164120915,0.3744438392593557,-0.14147011249089184,0.9762382379709007,0.5475417393312552,0.4829231110717377,-1.0135306492788596,1.4543551768339102,-1.2699079695947548,-1.351380229863501,0.6979105814876346,0.9616568018443902,0.03971023274416088,1.0462321954974116,0.09457423981569038,0.9081750862743196,1.0774263999474043,-0.20870563040181847,-0.4899202752661421,0.887232379095448,0.14411866119551398,-0.304625083842533,-1.0962785967439979,-0.3409709166068898
Power Law Tree,cauchy,18,-0.09556348269992952,0.5027300918313637,0.3998005898863188,-1.0080774039508373,-0.8842484610304701,0.8062108288823376,-0.8176405983951338,-0.35281789924341095,0.23257801271039,-0.15661614193437667,-0.4488098137484862,0.061549460791838845,0.4739405860657808,0.17894671662904182,0.24921214062486538,-0.7170320098483982,-0.949926164043638,-0.9192283934741396,1.116824811546537,-0.8735199407996432,-1.787709109724514,-1.5210219612595026,-0.12361052582079535,1.5326667473641822,0.888934926509554,3.3053195460557254,0.8271777483076788,1.4888799513563167,-1.1303651795824758,-0.40645619022023405,1.1351149959625029,0.3204186567841128,-0.4347616139973191,1.4753061780844796,2.116083308725654,-0.2596003611162437
Power Law Tree,exponential,18,0.4017701822340087,1.4648119168945255,0.04946086948527659,-0.28676772298437714,1.5139364779039512,-0.9346743171334052,-0.3161704446941791,1.0317019847918134,-0.6662722497698447,0.2288635596161978,-1.255406342304307,-0.1986303973073424,-1.7041074334573294,-0.2504388220426589,0.29573657555686744,-0.1188636924391978,0.3975453824928232,0.025340558581368182,-2.2475987798681034,0.7906300306376112,1.3856449646976796,0.5240853699547854,1.0309546115199304,0.43870393406445707,-0.05005790812133681,1.5055671513753075,-2.289485564746517,2.2348078672922056,1.8434044960477953,-0.5256034917631384,-1.3196115671809712,2.3137350608480967,2.918769239303975,1.5211083851695433,3.880821619896627,1.4129421465552996
Power Law Tree,log-normal,18,-0.39825440548148594,-0.45216322677460385,0.28601849617695874,1.0100538638587464,-0.015108003370990587,1.1136985110715913,-0.7717374996986701,0.5637310060012558,-0.11662367805786743,0.4786088121722003,0.4828574824179166,0.4400780878454815,-0.9294801695695571,-0.9073087855403477,-0.7866448870628103,0.06701912441106055,0.18742881726212512,0.09677019510958063,-1.0108748207082707,0.9002276719890218,1.6829970098653029,-0.652572100695442,-0.6744183722504266,2.004599915360252,-0.13183718305939346,-2.444457809818986,1.5901785825999741,2.5645955939848015,-0.5141283012586761,0.41614010786892497,1.674501619378834,-0.15645110900766168,1.6536415233443251,-1.7091745789174875,-2.3721768526296216,0.40124442600171095
Power Law Tree,normal,18,-0.19660359986022433,-0.39803575020580173,-0.24473604368747484,0.2931784273713263,1.1397208067099909,-0.9132346936060822,-0.1230467322554875,-1.0902349315556026,-0.06881353636262377,-0.2735476627296631,-0.39368920674748015,-1.2160088213224631,-1.2745659500286655,-0.19319105632944164,-0.42938444461661907,1.2392375653797156,0.08807976894347773,0.5229193785843745,-1.0705240368985511,-2.118259378166301,0.6715254637108462,-1.7803410298457845,0.29466987856267546,-1.1577560578098964,1.3759944670183386,-2.8020438458055006,1.077608772417495,-3.1600539189061916,-2.6098412142844296,2.1977239676847113,-0.9847114734383946,1.6396023403332456,-1.6390194993038874,-1.1619079709351496,1.1136067408355064,-0.6812620961497704
Power Law Tree,uniform,18,0.46159344348573517,0.03269860445485426,0.818495332391212,0.4271442237117741,-0.3835167170436483,0.11381686230621404,0.753038322707041,0.3905372377614711,0.07712706274591458,0.49504849320452193,-1.51737694119601,-0.23057605381961144,0.4794779257514886,-0.7681566507815871,-0.07287747198472516,0.39224240610142724,-0.15235120636066646,0.9858010243504168,0.9808612979463025,1.6637353538520407,1.8322543078734679,-0.8735745104032919,2.4017571154335116,-1.6172924422728094,-1.8368227698848327,-0.34722424308078237,0.13536145483804396,2.6842839620678887,0.5120695231220119,1.400339742125949,-1.078032355969257,1.2075866712422592,1.0832537503851618,-1.0592341401544279,-0.21696424205585196,1.8568339953452497
