graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_beta_15,median_beta_16,median_beta_17,median_beta_18,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14,median_gamma_15,median_gamma_16,median_gamma_17,median_gamma_18,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,19,0.13590685166376246,-0.8357576625503524,0.03391502272984427,0.3616297839622841,-0.4126476631054326,0.240152569563544,-0.4625647927185676,-0.3600541311717875,0.9259872384534059,-1.336973587853421,-1.4267640599877298,0.3318843890323322,0.4440967821793355,0.7556742336024056,-0.8068118732405537,1.403088461222214,-0.5497336171758593,0.20858844602351664,-0.33034386335123367,-0.7082819677185739,0.5993532975970788,-0.9492676979992714,-1.8645280102583475,2.3340690807562563,0.14484561905494056,1.244884478641726,-0.16102531894989805,0.6212657716968776,-0.06162211001987282,0.17019514493652818,-0.26693836198443477,0.9661069732642211,0.1124517762111236,0.2564885060346724,1.6889080280160071,0.6085386782853925,2.51735764970878,1.1112835020548653
3-Regular Graph,exponential,19,-0.6450325219185388,-0.5426230296478769,1.257315952371556,-1.171275666481164,-0.14883541774478284,-0.03792373812324819,0.23951128175364694,-1.5834352310398716,-0.08215743901890693,1.1242500647870521,-0.04997912523872493,-0.5024442386131671,-1.0590872007398136,-0.4114700276382491,-0.4597181519797411,-0.14990033425373978,-0.5924910995015276,-0.0087346265436983,-0.2732961541740624,-1.0052161497179584,-2.2304296955929743,-2.106757654445183,-2.834436614435838,-3.029680330520781,1.0694469803802946,2.6116425939575887,0.8158551471081283,0.21757520655553336,3.745354075996351,-0.4427669888753939,-2.7115883824358233,0.18769435467416004,-3.778024970986506,-4.070023621954867,-3.038980370149521,-3.169259347144334,-2.710402783004758,-3.2931200491106183
3-Regular Graph,log-normal,19,-0.057179822276955464,1.133624554793264,0.8311691514059284,-0.34237266542149786,1.5703248512550427,-0.9341947314915413,-0.3783927690153328,1.4382343784662333,-0.43201542890429917,0.1811316726836706,-0.14042353245637854,-0.11601272980845366,0.4130865502598552,-0.3323905787590515,-0.03963156853740836,-0.8637117196747501,0.2239059678307717,0.14786129633196735,0.4832609314385417,0.10558457973480259,1.2813928579728158,1.0508704525511983,0.8202938785897423,2.7271299547973396,-2.6726514693454972,2.5396800958558994,-1.81280511456399,1.2525064935665873,0.56231602397849,-1.7490418701199788,0.8190380357673888,-0.4101446834303269,-0.5791650010785815,1.2438285437053824,-0.2961185705988755,2.4435653110847917,-2.6107855269241145,1.5737633382936993
3-Regular Graph,normal,19,-0.4280755382542984,-0.5499340981659916,-0.45871680929204867,-0.4289035480020919,0.4032182248003826,-0.5160862970526359,0.2004593904555449,0.20206364652498987,0.5320173665836757,0.10154436173135573,0.050922097648938715,0.1405692282798146,0.46907560593537984,0.97934295370125,-1.210647611038732,-0.5039892133840871,0.5459522907383776,0.1516923259273578,-0.780753869189327,1.2362757551778747,-1.8346393580333786,0.22513390155118435,-0.016461442525777855,-0.07080407069440406,-1.1334118491834524,-0.925535184109984,0.5202541901055017,1.3718852186939183,2.8047773275793677,0.015705402015616456,0.5512505765391698,1.4879905043320953,-0.3590682925880767,0.31206040473184354,-0.9114680405591199,0.03054183709004923,-0.44876401233404056,1.5339774821274448
3-Regular Graph,uniform,19,-0.6654219834709031,0.468730666351809,0.06359678751086632,0.3881662458691009,-0.2832829036079817,0.1197934629791938,0.23469052754911682,0.02407277728963432,-0.2789229419326721,-0.4293461195812533,-0.6892193288939406,-0.7129930488317079,-0.2030834657618597,0.0478237551948945,-0.5599676348588165,0.8893311149234637,0.12969983628225673,-0.22303985501579665,-0.06520994386299427,-0.9467560487386402,-0.7853954249163015,0.1503287759495867,-0.14683245968528164,-0.4306042747382606,-0.6328825191151728,0.5936065057884092,1.4204340492974707,0.15004654523411393,-0.15925699116241024,0.4357357776336947,2.081767876536543,-1.7563929978676498,-0.8694887515052304,-1.348889695687591,-0.9616611241878745,1.6651335069962423,-1.1902721884899936,0.4996387912097241
3-Regular Graph,uniform_plus,19,1.3143981998397187,0.35308560086259644,1.2254398952706627,0.19380179718943658,-0.24147978374660645,-0.9111326859990336,1.4441426106160828,0.15078608435220386,0.2230136435265216,0.6035173192975689,-0.6983691555383118,-1.2617465921904438,0.23157887157765072,0.48230200518465105,0.10388374967733423,-0.24218394508346974,-0.8001595991302073,1.055741663754447,0.4294233350960115,0.6902441288382829,-1.930747263704392,0.2627615248756796,0.10124533073273065,2.0538421838398855,-0.14426208786645156,0.21738458594309934,0.5654083823155042,1.68004743206816,-0.6017187271249772,0.8784820064011021,0.09018346835519186,0.13567226259643403,-1.8172240026869944,0.2251800406688827,-0.7084505484434745,-0.5894689792688448,1.6273736727596,1.5984729875667796
4-Regular Graph,cauchy,19,0.48674299941428756,0.16853567109299086,1.5488357329167077,0.9349420531550218,0.10952621098708379,0.36057814709732267,1.1093755047089493,0.7998804077530808,-0.5762079120593606,-0.7226287035568572,0.09608248390373646,-0.2549893636272603,0.03274939594019455,-0.8837773633731878,-1.6303313543190854,0.6067716439081907,0.06585729047019474,-0.3640597833515448,-0.9255642628975078,-0.18019546285476784,0.533717166790179,0.17501698284816086,0.14931312350104223,1.201891916244668,0.3962349676429421,1.0561691119416114,-2.226006372746267,0.38800268986650027,-0.0272889730217794,0.12253929761830525,1.4149486528403183,-0.45764111050101924,-1.4017753069223529,-0.46631543605061315,-0.2036229251793565,0.3544770918201932,0.5970071169415344,0.6493960494694642
4-Regular Graph,exponential,19,0.08161031543414561,1.182142703595475,0.18037899474440544,0.44004789962663293,-0.0894948333664857,1.2134738087089008,0.12307635727179383,0.27604076891093554,0.032683443063066114,0.805916904727384,-0.36282943833886355,0.1414946336180486,-1.112443537585366,0.8049900884849207,-0.4154048962019479,-0.42020985848425174,1.303523633774461,-0.31654090948832586,1.6753908325666043,1.1825443722822337,-0.7903033956417415,-1.007918649090413,2.503035934614269,1.7377719288170326,-1.8278458398735633,-0.7243200620612865,-0.06342973627507822,-1.5977252374800928,1.5253864649875233,-4.18945908803056,0.05772976821559783,2.712604468735835,0.28153516724347843,-0.1901671360484503,-2.499710024988427,-2.470122935518884,-0.9115636948235497,-0.34127158146348974
4-Regular Graph,log-normal,19,-0.0893554588927484,-0.5489298099974348,1.4836170131448179,-0.54553354558612,0.4346441105808169,-1.1586650242346404,-1.154289472272506,-1.6231277596586517,-0.0503203615094285,0.07839771005131028,-0.8725271725995594,0.06959419998000878,0.08565464246274308,0.8564309477796267,-0.30013949861417666,0.402797400966827,0.24702508455747352,-0.7278937974010868,-0.24170198002489227,0.8979627146237795,2.2222107652695624,0.3663926006251364,-0.3411804901834898,0.49660020629908913,2.1302386165894034,0.9491580007701184,-0.7895170636427427,0.8330117233935838,0.19814796840499993,2.4469236643595185,-0.1587764908382962,0.6177066999005524,2.203015827540678,0.9024120829089,-1.0957369472585439,0.9578562643584846,0.7922071407644614,2.5687491650457015
4-Regular Graph,normal,19,-0.4849308799963673,-0.5960839106581476,0.20839706607721822,0.480876500252104,0.24856857541141952,-0.09629278994029893,-0.13971407874877426,0.14621374039513998,-0.06608099419722487,0.7503950721182442,0.036774923712380954,0.9059744431041149,0.5863009642134823,0.37230804022184694,0.11049586952056328,-0.019443857519281117,1.3530914219638381,0.8707028985383668,1.5766105814951836,0.6679843448467035,-1.671977660230508,-0.8274162347210695,0.44724023101001176,-0.256605257507204,-0.06336493506779609,-0.1939562408299855,-0.009840156682491306,-0.9183154493573863,0.4659867280077334,-0.29209772361211755,0.8620275828819037,-0.4908102662203217,1.4568687978328927,-0.3418302951253764,2.0036307313591486,1.5495525353606516,-0.18189108670634033,1.1453277012213734
