graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,15,0.7031503113351142,-0.9919728931666795,-1.1711055544951106,-0.18479887770993375,1.4754135348338921,-0.06246534188353581,1.3910720928031433,-0.9571477732875183,-0.9095977032465242,0.3442875931243673,0.2163071811192175,0.9693233848020472,0.08544949375098032,0.3356255365703944,-0.577428389745579,-0.6163226948956483,-1.5849292617738429,-0.0023427903481208698,-0.9295759740312778,-0.3470090957511477,-0.5111063785220011,-3.4110561289173953,0.44987123401574847,-1.5725970409698715,0.97732439236016,0.48628471109563265,2.204662049818752,-0.4419688247691311,2.334545943032668,2.411069459853602
3-Regular Graph,exponential,15,-1.6967438583846954,0.7796535836430789,0.46347518079643235,0.023424564732551684,-1.4313046928835003,-1.1410036827869772,-0.1589277120000519,-0.5338528370608656,0.5622208668532741,-0.5244463734884243,0.09842249661034187,0.4429196277311308,-0.3497806290715726,0.2448212045472551,0.19951417914315236,-0.49085051286233905,0.9815694379876343,1.4532281129383149,1.0127506225410228,-3.2881417917926457,-2.180924768650896,0.27680743240334427,2.319382132692892,-0.9034306745781875,-1.0540848183077152,-0.5938334815642118,3.815920753965941,3.218573035844433,2.3647479233151985,-1.5586743787101587
3-Regular Graph,log-normal,15,0.41382589850103557,0.03722858651000086,-0.010410617138563623,-0.3027703091133759,0.6526966054264093,1.0209395079098154,0.4266313539594315,-1.114870881848806,0.9445755606573802,0.7103629666414352,0.26704337669720013,-0.6888119815154645,0.9850445509806361,0.31940316963973314,-0.08401130552393211,-1.2863133209375275,2.0734784180091017,-1.9027972702539224,-0.6743719068629512,-4.139471301048122,-0.6304176031803064,0.6559575203611961,0.0917353924851594,-2.2464958808151394,-1.4444830075350135,0.6850165625968394,1.668351534890933,-3.0356569915917757,-2.4614288720954995,2.357766311599923
3-Regular Graph,normal,15,1.451041831074697,0.5736911767528428,-1.5132499242207127,1.3564768189445204,0.050944268479901286,0.06159171094669557,0.11984366028270929,0.28007172908890066,0.3030429516606256,0.5305468075482876,0.4145693463009107,-0.514419207746779,-0.14946479121782977,-0.19547636301336907,0.13484177736938674,1.2377458643558459,-0.8417796461277905,1.7586953456818326,-0.44164567705149,0.347147479203158,0.9693339052292368,-0.08516888437140199,-2.1838840046653134,1.1687231490429089,2.493060886772743,0.6313140317092026,0.5281603926650814,3.3965743785061555,-0.3331784538226249,-0.5884795453831747
3-Regular Graph,uniform,15,0.6543188832536588,-0.5891183767008815,0.7776117845810443,0.002242888248292319,-0.8639031364906125,0.05662659075794103,1.4909290040251875,-0.17773238415779086,-1.3654472031397158,0.5549996086790508,0.81878918636518,0.5150322191248229,1.1572414226322905,-0.32028672207160114,-0.4751557536676243,0.7399521380890799,1.818414038460389,1.3834553008907085,0.5025008313937649,-0.7327869917304694,3.4035994147581303,-2.3980719315237673,-1.6153955229933241,1.9448369286921299,-0.8574947920801026,0.42017998848906124,-0.20779697198259878,0.5085236599888885,-0.8995692731240731,-0.3736361482268912
3-Regular Graph,uniform_plus,15,0.3529004308928936,-0.5811872815978657,0.32956469577649683,-1.305105380778703,-0.25859957852871074,-0.1696374611106127,-0.017926922811510978,0.3743269975878956,0.5255445822098443,-0.2693066773290295,0.004684017053903051,-1.2297287455268249,0.4023372158474089,1.1374140373840589,0.09077175890752243,0.6143049809317546,1.4308139903418147,2.3490442384403396,-0.41904197644974006,0.6265778806158239,-0.24289614063548198,-0.18694674561138958,1.1328441966506977,2.206684115309641,-0.30976783203212643,1.604524599946198,2.833353546560925,0.9047822493761106,-0.43522254386441933,-1.8377967841607155
4-Regular Graph,cauchy,15,0.6001791549016939,0.5595389562701001,-0.003498670104487489,-1.4528320582569547,0.8946301235922012,0.10039488323424753,1.6918157066375514,-0.1713309863135581,0.4856879709666259,1.0235523727831684,0.23160494310542032,-0.5620644186398328,-0.2520416396172254,-0.6133400262418105,-0.9317202383423795,-0.5269146965370273,-1.0529369941841078,1.9247374441828926,2.029360849875428,0.9688798084192437,-1.9405925734974374,-2.681840203713597,0.4373978812316535,-0.8859031258281748,1.3268611983673646,-0.27318881037462467,2.426312905676967,0.2712338268225929,2.0997024120800782,-1.1960048264830128
4-Regular Graph,exponential,15,-0.6866694160079442,1.1547362402732766,0.953091209880148,-0.8538927235965607,1.327067272782499,0.04901965256175135,0.10038566092567315,-0.10100958589824505,-0.4998980876501659,-0.9820228960650395,-0.7534249397294588,-0.2210315038523003,-0.23075414598338143,0.34527730523522315,-1.3803303256534036,-0.5722936910484745,-0.6238407862089594,3.1057095241375,0.3928133689676825,-0.006972481636603702,2.637943671621834,-3.0413695561359546,-0.8141801291516132,-0.7365552929546255,-1.867042010212658,0.09694326130574753,-1.6399104842585883,2.634146708319298,0.019450914039079985,-0.501234413293296
4-Regular Graph,log-normal,15,0.042423297995019586,-0.05648060345179538,-0.22086502493740687,0.11549656906816495,0.17994786032487847,1.437726710932885,0.07397976280603707,-1.1507518373100045,0.49127904148145324,-0.4021712483342121,-0.3301426332800701,-0.5576802049582528,0.6769179483408692,0.4595570814906331,0.24416684807229103,-0.9635623294740293,-0.6945008551020662,-1.9155251858299553,1.7278337093378593,-1.763141228201794,-0.40017007733046484,0.5094464607560176,0.7102748665082231,-1.2714360706636785,-1.2903782867556144,-0.9594977503073538,-2.727343427646455,-1.0728942598457663,0.9944033044940718,1.0357963989103682
4-Regular Graph,normal,15,0.3000533651008757,-0.0471007544069757,0.2125197857004467,0.21387328174222567,-0.8574003787445635,-0.08605569604888866,-0.09982401421821228,-0.5828049763762018,-0.32923664313187134,0.3292968783709618,0.38432505136826145,0.4465319023254738,1.164158850749784,0.4544144763480257,-0.032866552524495746,0.5457330536308963,0.06686637236254214,0.373413823653784,0.4763744789551434,0.2755794854202919,-0.0376687945895715,0.19868597484718906,1.4279567039337688,-0.4175473067940334,2.130154102635078,-0.25209657019742454,0.28810854905845085,-0.37037479124573386,-0.42710562436455035,-0.39735128169484557
