graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,13,0.6022178874504505,0.38238234218187894,0.20836228037648458,0.10968190988630544,0.09898367451402544,0.37482488430892474,-0.24287643561852806,0.10506307829534144,-0.8660780162799351,0.12643144449238564,-0.14929373177442196,0.14544476672767762,0.18156602829245724,1.8002660747824186,-0.5961127101678934,1.851062546179067,-0.40749356090832695,-0.7078428190302438,1.5283191513955572,1.8176854439739407,2.2747793030532444,2.3925521665311016,1.4845037039793396,2.64945331538182,3.4062587300507534,0.04583232983204072
3-Regular Graph,exponential,13,1.6420304598852058,-0.45875674505437153,-0.12087761558498078,0.07739291350700751,0.12551692643060544,-0.5519321986135732,0.30672965003654784,0.26411366107212086,-0.24975386856927298,0.2952156255236842,-0.41398342005314887,-0.012592537772702144,-1.2223393806544056,0.6177763844446333,-0.6882804222183587,2.2012148397673843,0.5085692682245152,-0.6844257442196622,2.8790584613554455,-1.9442924647015305,1.0289447904348752,0.15317522349111198,-3.7780196359339246,0.4110360144726197,-2.9139457008589895,-3.8526612221631384
3-Regular Graph,log-normal,13,-0.19650006385948468,-1.0618575431702844,-0.4437972730195361,-0.35044624290066656,-0.33072948368246696,-0.06156295395209427,-0.3343398244174906,0.2508521072407663,-0.1905469866854631,-0.47960909641656846,-0.2982538023464788,0.9837023328174574,-0.11822539427071255,1.6293802541259967,2.9725799879805646,0.4846262776786165,1.533626713621097,-2.490644589100004,3.3919121800841987,1.2285233859457334,-2.0145502615628637,-0.531435600316459,-2.077401988609931,-3.9367157297344546,-2.8390000710233925,-2.2701873341396768
3-Regular Graph,normal,13,-1.1629753906596831,-0.5379854459634962,-0.07669327037983924,0.24833260926351863,0.04256447170217501,1.4757252677368768,0.07501172497276849,0.4604669310379142,-0.38401217271492427,-0.4607981972812381,-0.1535217949774459,0.49104586246976817,-0.4671845795080346,-0.019382476949212767,0.979143041382997,0.7701868468101969,0.6097904197657148,-0.3265783815370437,-2.699343315062493,-0.6141551026486365,0.8879725186866397,0.2420229170144287,0.9807824913959722,-1.1230802889783895,-1.1923495352155924,-0.24935798051362834
3-Regular Graph,uniform,13,-0.5073274673576017,-0.4552208371851342,-0.11208213030880353,-0.5003500518712455,1.4685544370617423,-0.88012695420641,1.0482174981816705,0.31347217554556855,-0.0035149893968230844,0.5516044820132943,0.31047752280464574,1.1138434931165855,0.37489998712801587,-0.9325325812550342,-1.3005335780075327,-0.17075882603924644,-1.2166012193273394,0.008779606919176997,1.7436109796063417,0.6504571953186389,-2.1681290105255338,-1.8185745943424259,-2.4371592181778388,-0.48395587919695665,0.24899003624788124,2.38493238129479
3-Regular Graph,uniform_plus,13,0.4443669171391989,1.1188390381976516,1.2810807602236625,1.0931264743315598,-0.13482658452320312,-0.8514296142157654,-0.186055403755961,1.2114535533670237,0.01602166472459901,0.07961706254457937,1.0092554031527072,0.354201345595892,-0.19887605302687644,-0.7672864967477626,1.0880646642837153,1.5922657117481709,-1.9412883591215533,0.04013091143431001,-0.15820262027978388,-0.4195122478346419,0.09833114782881631,0.3851091113857712,0.27280302314683663,0.17443139637626093,1.3160555075347138,-2.1539451174799167
4-Regular Graph,cauchy,13,-0.07301878213063541,0.5339894677581247,-1.1935517660878763,0.08410482224228533,0.4533126189379901,-1.1740188324436627,0.4718411622694255,-0.33623013852929867,0.09323255053159356,0.9286610083276685,-0.8199059203472281,0.29697588024437416,0.665335643271618,-0.47033471617660616,0.7969740886116607,-0.6761620353559588,-1.3533988302647002,-1.2496994693440537,1.4022905322082433,1.9112871051319442,1.1699152603197294,1.1895777458795682,0.3256081434778454,-0.040419373045259964,-0.5327525642068281,0.494879534049382
4-Regular Graph,exponential,13,0.25460788199146567,-0.5200342241693126,0.17023228108307908,-0.1430863784769276,-0.00865817547342309,-0.43723240018576676,0.9672325123621458,-0.7112581637478681,0.3721936732186012,-0.06408714038835422,-0.3398446031218669,-0.8677915718943218,0.10561772951601325,-1.644734089634503,2.832896235862941,2.565744380951903,0.6251078197930886,2.6463003796111537,-0.588220111741582,2.18090754690685,1.0987148374272804,1.256838319586351,3.1276639642092467,2.990679143229235,3.9793974666550858,1.5424498098516402
4-Regular Graph,log-normal,13,0.5259157419233754,0.9572266057738339,-0.046468815485685384,0.15047679633133407,1.4923761250555736,1.1425803539152977,-0.41502525067074303,0.837865484674202,-0.8035860481049835,0.23466234464769048,-0.899456795960842,-0.46082195964951017,0.8691903609554252,-1.3223367592584172,1.3647061258133235,-2.043480156717969,1.0212205596752115,3.843010615652372,0.2886723309980763,-1.8982210447300711,-0.6859224562994436,0.7687063001913089,-3.496750525877269,-2.4556498627096244,-3.462042211888137,-2.489590576262305
4-Regular Graph,normal,13,-0.9923266835129292,-0.05231683404353697,-0.5844558919647463,1.6172763079598715,-0.06704961781350875,0.09155718546061335,0.3406697593033834,-1.273153037741389,0.6210285944729963,0.6720956913355418,0.2748982353159825,0.11420170300574142,-1.2632546683686376,-0.9996830149529489,0.9287727451796217,0.8301911789538879,2.123584044057904,0.12635985380576964,0.8557052089025189,-0.4903760268405379,1.9012801553698426,-1.991259201658248,0.39089813401490586,-0.8829749152102774,0.22169875523494809,-0.027955563053699513
