graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_beta_15,median_beta_16,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14,median_gamma_15,median_gamma_16,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,17,0.6199551900281159,0.4506672717208623,-0.9509872308266234,-0.17150485344509053,0.41917013558393706,-0.23152323277910128,-0.21378324180071992,0.12732556995624944,0.1482449593405135,-0.11984457271954237,-0.7479998178825654,0.673534085713654,0.40331020755369423,0.4313845463803017,0.6230255603782394,-0.6517113402845611,-0.16497577419739098,-0.8348467489694609,-1.0372406457861638,-1.393353267583326,-0.8336954815002663,0.41073200193124876,-1.8289256325143066,-0.4437880509981496,3.1891977454518763,0.3006758594156815,1.3832961685050562,-1.8053231530226905,-2.0362476289497304,0.5851127128894994,0.362655097666627,-2.6577185554568477,-1.2972705364521417,-1.09187126295877
3-Regular Graph,exponential,17,0.9546216380507518,0.604130364759801,1.2115610363261502,0.20860953654725184,-0.4835804187426822,-1.132641876899305,1.424341914244348,0.09681626102328562,-0.9480782541999644,0.4911806376845949,0.44582909004694243,-0.85083177221646,-1.3969594737888376,-1.321604513054089,0.9378203414324847,-0.4130666988163925,-1.3393287303029362,-1.2519471518201963,-1.4624007999303168,0.11397624938006784,-3.1256297078627147,1.000694910959423,-1.310523894903463,2.4952118314123126,-2.2660361605385093,-3.8789184722406995,2.2912745198038293,2.0929036463051967,-1.3068871327619704,1.71953620463704,-0.8191244609646408,-0.6390242080703216,-1.6723561380153438,1.1585704265638004
3-Regular Graph,log-normal,17,-1.2190674838731128,-0.508021607309523,-1.3012170568027508,-1.298880697685493,1.3062258563491733,0.10053582315542782,0.15777003764478825,-0.09404913584920403,1.4620808144863466,-0.3988227856997683,-0.36573975694671196,-1.3901079399251652,0.7689141181873239,-0.23026311818181217,0.666454591878454,0.24622081255199607,-0.27911301928347537,-1.750281559827194,-2.3958976095625912,1.0471504037391703,-0.6865842738481027,0.8658512181832932,-3.729820202440539,1.7197514324560985,-2.0495283181619097,3.494840436281281,-3.560400061126233,-2.372256741340054,-1.4989083170847015,1.037947889960268,-1.3825046714003975,-2.3537636531378143,0.9942098694952576,-1.6854396884872924
3-Regular Graph,normal,17,-1.0599869321320257,0.569704345363151,1.0512907966202572,-0.5040807718115974,0.39848537181608207,-0.6460784931013476,0.042311390200821475,-0.43895203801219473,0.7850140734283926,0.3131145662021844,0.15736491160720045,0.5487446258042696,0.5710219274714396,-0.873904265096213,-0.7612351987005885,1.3765116829068005,-0.6917479496271326,-0.5130724517783141,2.0143347602683748,-0.8738426130225311,-2.8701578005184123,1.2563942774799424,-1.011066150870633,-1.4747597435270083,3.3277563869466524,0.3143512770607378,0.010679299098864115,-0.3553131412118458,0.5094796169576697,0.967340813643714,1.3645004626584751,1.7856539962258327,-0.4424238787489763,-1.3310836901694691
3-Regular Graph,uniform,17,-0.3483617250696418,0.6394754981655217,1.5725019201962036,-0.7777324922858408,-0.19746402914245356,-0.03997610560711777,-0.05736359583723749,-0.19469798949512185,0.3091460645239937,1.0640699941673932,0.20968469469621837,-0.19936545273963166,-0.4053209525502067,0.2935941246240548,-0.24931631851775543,0.809116979879335,0.5995971637970405,1.0866529512704841,-0.3541874034752025,-2.505085521337616,0.007673140622800417,0.04638209992106712,0.07508576423156488,-1.2883965625848592,0.1661724990224714,0.15558033442271818,-0.2559558318336315,-0.4345127442797635,-0.5578559699437708,-0.054746474066246636,-0.8756981741513908,0.46145079363379715,-0.3878823057554003,0.49552963179252213
3-Regular Graph,uniform_plus,17,-1.029192494139945,-1.0821756460016523,-0.4469486310083096,-1.0770012967528781,-0.32513825209408226,0.42127753601642826,0.13752663244111515,0.07753448129533194,0.11433113959528038,-0.5689661599429818,1.123240500184411,-0.9091112083180204,-0.3644429518240341,-0.04358985026271808,0.3764939919476266,0.3542731945132396,0.19795842456705204,-0.9730168916247225,1.736866486212215,-0.7022965680645862,-0.25656852853164913,1.7542879710761274,-0.035842010564742045,-0.22191771662558823,1.9223958871159659,-1.111508283684147,-2.403614495577451,-2.4389923502799182,1.1033592707497657,1.0680888944109004,-1.4207332383244409,0.014212073637418566,-1.7826926525144149,-0.48496952895398976
4-Regular Graph,cauchy,17,1.3231245818079216,-0.40791187040144733,0.07004698377954291,0.664808599731938,-0.5762560658621154,0.2646172317781111,1.4277487144276653,0.9915677507451301,1.3057828352816585,1.1556116776175314,0.002388341439520455,-0.3039081764260963,-0.8491016193363613,-0.23892476110460867,1.3867768221948442,0.01598357936224965,0.28441113099868753,-0.5153889135524523,-1.407157654979948,-0.5963416420295543,-0.4302260575035489,-0.34129533425601566,0.15068372413271164,-2.3063421168067024,0.19860504785277588,-2.432722538826085,-1.4820732289341068,0.8975010016216501,0.9077600310009876,-0.1006421174983479,-0.019781108495359075,-0.06363793469260749,-0.7486745349309141,-0.5179796293242322
4-Regular Graph,exponential,17,0.0298392560231225,0.4747252846115866,-0.6362794430775695,1.112697164907731,0.5986219422666079,0.23394727336124357,1.3524424101527062,-0.776926110673127,0.040328641478997486,0.48384942371337464,0.29822507324461517,0.07471413796417557,1.1648203455456818,-0.11329974459909664,0.5378165106126276,0.3820470169990826,0.31831402438955825,-1.6982998262787878,1.3952691343226171,2.1702732353063223,3.509051617465047,-0.3627427593117407,0.648387381713117,2.616129443097033,-0.3320864402417856,0.05037081756356935,1.9374075557705015,1.5188117558942154,-2.3998894375600006,-1.0508689794776553,1.6703991588575753,-1.4731291206808967,0.45382237813766674,1.8918463075306093
4-Regular Graph,log-normal,17,-0.610007034079538,-0.010967421340750688,0.5759278233791951,-0.5691835265806875,-0.03585538289173935,-0.7560023384144119,-0.49006839821398807,-0.12455613346892003,0.09575076350681055,0.5279239231313798,0.6124106269972845,0.5329388692414236,0.9451189308673739,-0.7148979455562796,1.2813358841965177,-0.7683095510575617,-0.891318880086367,0.33414459255834006,0.7686646025887981,0.2797599871454303,-3.0374338107630217,1.5196673655955517,2.048248824033512,-2.9799083711357994,-2.5817388436859448,-1.8045605678171677,2.6837815798744518,-0.8908952280245153,-2.5682052802733715,0.15223746478200664,0.8606162715335062,-0.7189104756170638,0.6235369645159576,0.4876639833177145
4-Regular Graph,normal,17,0.9969318451068802,-0.28078606933670786,-0.2298152016288156,-0.26293600506626236,0.07382705141807529,0.5653121760646601,-0.12886374683144447,-0.07384472425846793,1.3929224143367835,-1.1051943828564998,-0.051836887228815805,-1.2192478500856685,-0.23209406507771937,-1.0281289426001747,-0.9070147924941298,-0.7790953506870725,0.06784556602987402,-0.9287450382925155,0.6349714365586137,-0.18129906879320748,1.340325943049292,-1.4337278253238093,2.5582241923266915,0.5109284871514673,-0.13099296427457316,-0.9485356306224046,-1.554170634464917,0.40541980038263126,-0.5969205016551783,-1.9006991440631475,-0.00784108414841732,0.27076834695591584,0.08046526421830325,0.4314788244484087
4-Regular Graph,uniform,17,-0.7550869642080913,-0.9284362427088706,0.11577563826898668,-0.2215084251030437,0.03202883226358097,0.36862762619211875,0.7602158797281557,-0.0993522621852645,-0.955585189179345,0.36457979840616506,1.4958180307731697,0.4078857537923117,0.3726449056456395,0.1834318848184195,0.3455125893369712,0.7636778669554292,-0.07502233345042023,0.034948868922720755,-0.594138783020539,0.3785965829713245,-0.2046377667087067,-1.8038858551855652,-1.398571388400755,0.8238652111200023,-1.1730582120533901,2.827778886817045,-0.03420306071553081,-1.3712428849078853,1.9166032704435696,-1.0295716671565343,1.2696491909807284,0.2889761215627028,2.147685067291741,0.7543666753624962
4-Regular Graph,uniform_plus,17,-0.409471994697976,-0.17479433826543542,-0.06387666920108316,0.9594533829957772,-0.4515438735048907,-0.5587720114567198,-0.8446711337642454,-0.7352613785401502,0.41199595807227474,0.25590739194390494,0.8172917809361725,-0.380627263593628,0.05756042132928979,0.9592727840205957,-0.10678817243987518,0.3013579731810293,0.023111290487524368,0.038662213152588,-1.327622116794664,-0.6017822071355772,-0.8320817305062078,1.3636394367402518,1.7547482669220775,2.308929391499409,-0.40665891193512227,0.025130139180800495,-0.18320147386335955,-0.9662625865117334,-2.242450294762646,0.07359422708616675,-0.6808989196106955,-0.7130985838394795,1.4184496886565037,0.6132414609505454
Geometric,cauchy,17,-0.42544742829061966,0.2553233266356398,-0.002456492344724795,-0.3354104587274902,-1.0769845883540365,-0.15762305384267591,1.0539651220193575,1.122939029778823,-0.9624450579871102,1.4722806276200622,-1.0495521314144227,-0.9953162912771117,-0.04624533743890469,0.39387605903038225,-1.103867669261903,0.30212961883192707,-0.04785980578423195,-0.7578192766634064,1.0308407091746248,0.7044805157773457,-1.3004921477602933,0.49287523622447094,-0.9779103348128875,-0.042953529476876084,0.9557188005350465,-0.2915338999008384,0.5290972024653822,-0.37306065245478937,0.0926565032781273,1.7341910086305974,0.22481536363187782,-0.9713666894156547,-1.064920941909516,-0.9940015229722496
Geometric,exponential,17,1.5861765671886685,0.4305134299425835,-1.3906137869352648,0.35253653599472085,0.18803990993210834,-0.3226595930257773,-0.10077423384781069,0.8396111335005865,-1.4867943574434543,1.2611364098281033,0.2198189661466006,-0.41333640663523674,0.8730227270136592,-0.9181026492745867,0.9325152136032987,1.351089526722568,0.38572294255109935,0.6015662355682394,0.6427094112435824,0.9176089350519917,2.2318338223193748,1.7890512576368276,-0.3212001564136505,-0.9196067062289063,0.0035663385694199197,-0.47682370749841524,1.5975501136798975,1.8309953793791245,0.7161998482192055,-0.2642188340152089,1.548498517047201,0.6783769113072267,-0.3044855594249121,0.536635081400287
Geometric,log-normal,17,-1.1925848781572417,-0.5603517585257303,-0.6863598753009525,0.2607799893551941,0.8302348631572464,-1.0948161126688083,0.25956341323236204,0.9986436543777297,-1.3205011603652748,0.4469853962443699,0.36258261225082233,-0.6519299455503743,1.058645017388728,-1.0921721772150323,0.3277019812795243,-0.2756776764086986,-0.11990930165337174,0.5405772937013592,0.8961111602391687,0.628502904286083,0.6935046172479822,1.0011302279609597,-0.7828274962668935,0.202524737986703,1.3892260626528152,0.5730533738726775,-1.4146986693092518,1.7187347322778406,-0.5700638773809489,1.7429799627992166,-0.015401601909787828,0.694532438185106,0.26773236483945495,1.0712032703594745
Geometric,normal,17,0.35860840885077133,0.5831823481086216,0.8451041671478474,-0.39293426689028,-0.02346259159748083,1.2014599005275688,-0.13991391693959035,-0.43798828370428944,-1.3144976532010368,-0.6389398980822802,0.8143809521893961,-0.9677979021049296,0.6591870445285715,-0.15071966614945562,-1.3964332950787444,-0.5385104040827786,-0.775891146607954,0.57549140804826,-1.3172875862796964,-0.9921764950952846,0.6042597815828471,0.7732642083934126,-0.5133018947720349,0.4186107039498331,0.5429856930882201,-0.2526978175603535,0.3311560863531935,-0.635058655421039,-0.20696467624930762,-0.303172391895843,0.38664669144295216,-1.549884331422297,-0.2118410108192661,1.1166050689077898
Geometric,uniform,17,-0.10732350632062809,0.05688103904224311,-0.43156541889265776,-0.6635580284048892,-0.3131715344011602,-0.3341613992458094,1.1310227483379238,-0.28275424232440194,0.041949356089181586,-0.7033612593619412,0.727055477148639,0.505775083471205,-0.5377271137728005,0.4410600680915196,1.0978256388086702,-1.2470860886420374,-0.10484087728028584,-0.060424850930249296,0.08216793707390624,-1.9531360975784544,-0.4276778907800992,-1.0949079031855677,1.470226057625672,-1.7503263482069824,0.3291658369179769,-0.22564141172456162,-0.9642786356538009,-0.12830976985937959,0.6730720251997091,-0.17592997136599664,0.8162501229658173,0.7988979654763572,-0.1972687903918652,-0.057207886535305535
Geometric,uniform_plus,17,0.07548721486464474,-0.024046774527180875,-1.1041221335888116,0.14178866475484314,0.3088716892060759,-1.0392553699626907,-0.18483521174995068,0.10275866950164135,-1.4972310290609507,-1.554011300308003,0.3892945295362133,0.5670656150833228,0.8902949881835447,-0.08955618181493877,-1.4674267793389169,-0.5957458824435067,-1.3287273464292308,-0.49679926650161843,-0.39277562283223477,0.7629299517865585,1.0948917008880632,-0.24173317643817763,1.650489302029961,2.165299126815996,0.5455344381824152,1.5034548039447555,-0.15952850743424127,0.7050623560708598,0.7448312926608767,-1.3922002039572114,0.4033263726648487,-1.7592485887188434,-0.6583742017106179,-0.557441206533107
